"CCG Comments","CMU","FY","Last Stage Reached","Project Assessed","Project ID","Project Name","Vertical","Approval Date","Approval Step","CO Team Lead","Could count for more adaptation","Could count for more mitigation","Country","FY Probability","GP","Lending Instrument","Potential (Y/N)","Practice Manager Name","Region","Requesting Cost Center Code","Responsible Cost Center Code","Responsible Cost Center Name","Team Lead Name","Project compliant with CDRS requirement?","CI: Climate indicator included?","CI: Name of Climate Indicator","CI: Project compliant with CI requirement?","GHG: Applicable to operation","GHG: GHG lifetime","GHG: Gross Emissions  (tCO2e, lifetime)","GHG: Net Emissions (annual average, tCO2e/year)","GHG: Net Emissions (economic lifetime, tCO2e)","GHG: Status of data","% (Climate Co-Benefits Over Total IDA/IBRD Commitment)","Net IDA/IBRD Adaptation ($M)","Net IDA/IBRD Mitigation ($M)","Total IDA/IBRD Climate Co-Benefits ($M)","% (IBRD Climate Co-Benefits Over Total IBRD Commitment)","% (IDA Climate Co-Benefits Over Total IDA Commitment)","Net IBRD Adaptation ($M)","IBRD Climate Co-Benefits ($M)","Net IBRD Mitigation ($M)","Net IDA Adaptation ($M)","IDA Climate Co-Benefits ($M)","Net IDA Mitigation ($M)","IBRD Commitment ($M)","IDA Commitment ($M)","Total IDA/IBRD Commitment ($M)","Gross IDA/IBRD Adaptation ($M)","Gross IDA/IBRD Mitigation ($M)","Dual Benefit Finance ($M)"
NA,"SACBB-SAR","FY25","Bank Approved","Assessed","P500536","Bhutan Climate and Disaster Resilience Development Policy Financing with a Catastrophe Deferred Drawdown Option","Infrastructure","2024-12-11","A","000490765 | Naho Shibuya ~ 000455312 | Yumeka Hirano",0,0,"Bhutan","Firm","Urban Resilience and Land","DPF","No","Abedalrazq F. Khalil","SAR","SACBB","ISAU1","Infrastructure - SAR Urban","Naho Shibuya","Yes","Yes","RI #1. Capacity of new planned hydropower projects with a DRM action plan in place","Yes",NA,NA,NA,NA,NA,NA,"68.612",20.556,6.889,27.445,"  NA","68.612",0,0,0,20.556,27.445,6.889,0,40,40,22.222,8.556,3.333
NA,"SACBD-SAR","FY25","Bank Approved","Assessed","P176429","Chattogram Water Supply Improvement Project","Planet","2024-12-19","A","000253857 | Arif Ahamed ~ 000489953 | Harsh Goyal",0,0,"Bangladesh","Firm","Water","IPF","No","Josses Mugabi","SAR","SACBB","SSAW2","South Asia Water","Arif Ahamed","Yes","Yes","CWASA prepares and formally adopts a climate resilience plan for WSS service delivery after seeking board approval (text)","Yes","Y","20","382,870","6,063","121,262","GHG data finalized","63.280",102.728,74.456,177.184,"  NA","63.280",0,0,0,102.728,177.184,74.456,0,280,280,131.934,103.662,58.412
NA,"SACIN-SAR","FY25","Bank Approved","Assessed","P507508","Amaravati Integrated Urban Development Program","Infrastructure","2024-12-19","A","000155077 | Balakrishna Menon Parameswaran ~ 000146682 | Gerald Paul Ollivier",0,0,"India","Firm","Urban Resilience and Land","PforR","No","Abedalrazq F. Khalil","SAR","SACIN","ISAU1","Infrastructure - SAR Urban","Balakrishna Menon Parameswaran","Yes","Yes","Institutional mechanisms for green and resilient service delivery established","Yes",NA,NA,NA,NA,NA,NA,"61.849",207.392,287.396,494.788,"61.849","  NA",207.392,494.788,287.396,0,0,0,800,0,800,234.42,314.425,54.057
NA,"SACPK-SAR","FY25","Bank Approved","Assessed","P180008 (AF 1)","Sindh Flood Emergency Housing Reconstruction Project","Infrastructure","2024-12-24","A","",0,0,"Pakistan","Firm","Urban Resilience and Land","IPF","No","","SAR","","","","","Yes","Yes","People with enhanced resilience to climate risks","Yes","N","0","0","0","0","GHG not applicable","64.564",290.539,0,290.539,"  NA","64.564",0,0,0,290.539,290.539,0,0,450,450,290.539,0,0
NA,"SACPK-SAR","FY25","Bank Approved","Assessed","P171422","Second Karachi Water and Sewerage Services Improvement Project (KWSSIP-2)","Planet","2024-12-12","A","000397287 | Tiziana Smith ~ 000237696 | Kamran Akbar ~ 000301128 | Mohammad Farhanullah Sami ~",0,0,"Pakistan","Firm","Water","IPF","No","Michael Haney","SAR","MAP07","SMAPW","Planet-MENAAP-Water","Tiziana Smith","Yes","Yes","NRW Reduced (Percentage)","Yes","Y","20","6,378,429","-877,942","-17,558,838","GHG data finalized","81.988",72.48,124.292,196.772,"81.988","  NA",72.48,196.772,124.292,0,0,0,240,0,240,111.22,163.033,77.481
NA,"SACSN-SAR","FY25","Bank Approved","Assessed","P181344","Nepal Disaster Resilience Development Policy Credit with Cat DDO (NDRC)","Infrastructure","2024-10-08","A","000516311 | Iguniwari Thomas Ekeu-Wei ~ 000530596 | Mamata Ghimire",0,0,"Nepal","Firm","Urban Resilience and Land","DPF","No","Abedalrazq F. Khalil","SAR","SACSN","ISAU1","Infrastructure - SAR Urban","Iguniwari Thomas Ekeu-Wei","Yes","Yes","RI #3 Hazard warning communication provided by telecommunication companies expanded from single (flood) to multi-hazard (wildfire, heatwave, earthquake, and landslide) (Number)","Yes",NA,NA,NA,NA,NA,NA,"72.000",108,0,108,"  NA","72.000",0,0,0,108,108,0,0,150,150,108,0,0
NA,"AECC2-AFE","FY25","Bank Approved","Assessed","P181495","Enhancing the Social Protection System for Human Capital and Resilience Project","People","2024-09-12","A","000291153 | Alex Kamurase ~ 000274249 | Aylin Isik-Dikmelik ~ 000452513 | Emma Mercedes Monsalve Montiel ~",0,0,"Angola","Firm","Social Protection and Jobs","IPF","No","Suleiman Namara","AFE","AECC2","HAES2","People - SPT & Labor AFE2","Alex Kamurase","Yes","Yes","People benefitting from climate resilient planning, preparation, surveillance, and/or response (Number of people) CRI","Yes",NA,NA,NA,NA,NA,NA,"45.345",161.908,19.473,181.381,"45.345","  NA",161.908,181.381,19.473,0,0,0,400,0,400,166.001,22.326,6.946
NA,"AECC2-AFE","FY25","Bank Approved","Assessed","P180864","Burundi Colline Climate Resilience Project","Planet","2024-12-19","A","000342421 | Anders Jensen ~",0,0,"Burundi","Firm","Environment Natural Resources and the Blue Economy","IPF","No","Paul Jonathan Martin","AFE","AECC2","SAEEO","ENB Environment OPS Unit","Anders Jensen","Yes","Yes","People with enhanced resilience to climate-risks (number, disaggregated by gender, most vulnerable subgroups) (Projects with over 20% of climate co-benefits are expected to report on this) (Number of people)","Yes","Y","20","-87,182,437","-6,526,544","-130,530,889","GHG data finalized","78.537",26.228,28.748,54.976,"  NA","78.537",0,0,0,26.228,54.976,28.748,0,70,70,36.773,39.293,21.09
NA,"AECE1-AFE","FY25","Bank Approved","Assessed","P181711","Second Additional Financing for Scaling-up Shock Responsive Social Protection Project","People","2024-07-01","A","000360906 | Nadia Selim ~ 000102938 | Lansong Zhang",0,0,"Zambia","Firm","Social Protection and Jobs","IPF","No","Loli Arribas-Banos","AFE","AECE1","HAES1","People - SPT & Labor AFE1","Nadia Selim","Yes","Yes","People with enhanced resilience to climate risks (Number)","Yes",NA,NA,NA,NA,NA,NA,"100.000",200,0,200,"  NA","100.000",0,0,0,200,200,0,0,200,200,200,0,0
NA,"AECE3-AFE","FY25","Bank Approved","Assessed","P181549","Productive Safety Net for Socioeconomic Opportunities Project Additional Financing","People","2024-09-03","A","000572441 | Makda Getachew Abebe ~ 000474381 | Erina Iwami ~ 000188209 | Andrea Vermehren ~",0,0,"South Sudan","Firm","Social Protection and Jobs","IPF","No","Loli Arribas-Banos","AFE","AECE3","HAES1","People - SPT & Labor AFE1","Makda Getachew Abebe","Yes","Yes","Percentage of Labor Intensive Public Works subprojects that mitigate climate-induced shocks","Yes",NA,NA,NA,NA,NA,NA,"77.384",51.854,2.315,54.169,"  NA","77.384",0,0,0,51.854,54.169,2.315,0,70,70,54.169,4.63,4.63
NA,"AECE3-AFE","FY25","Bank Approved","Assessed","P504281","Innovative Systems to Promote Integrated, Resilient and Enhanced Responses to Women and Girls’ Health","People","2025-01-16","A","000507085 | Tseganeh Amsalu Guracha ~ 000311540 | Ronald Eduardo Gomez Suarez",0,0,"Ethiopia","Firm","Health Nutrition and Population","IPF","No","Ernest E. Massiah","AFE","AECE3","HAEH1","People - HNP AFE1","Tseganeh Amsalu Guracha","Yes","Yes","Health facilities supported with climate resilient and digital technologies to provide women and girls health services (Number)","Yes",NA,NA,NA,NA,NA,NA,"85.385",5.954,45.277,51.231,"  NA","85.385",0,0,0,5.954,51.231,45.277,0,60,60,9.933,49.256,7.958
